cell_type,cell_count,percentage
Unassigned,3072,33.26
Oligo,1424,15.42
DG,941,10.19
Micro-PVM,598,6.47
CA1-ProS,578,6.26
L6b/CT ENT,268,2.9
CA3,259,2.8
L2/3 IT PPP,207,2.24
L2/3 IT CTX,195,2.11
L4/5 IT CTX,171,1.85
Sst,162,1.75
Pvalb,140,1.52
Astro,132,1.43
Vip,123,1.33
L3 IT ENT,110,1.19
Lamp5,95,1.03
DG|Oligo,88,0.95
NP SUB,86,0.93
CA1-ProS|Oligo,80,0.87
SUB-ProS,65,0.7
L2/3 IT ENTl,62,0.67
Sncg,57,0.62
Lamp5|Oligo,56,0.61
CA3|Oligo,52,0.56
L2 IT ENTl,51,0.55
Oligo|Sst,45,0.49
L6b CTX,42,0.45
L2 IT ENTm,40,0.43
Car3,19,0.21
L3 IT ENT|Oligo,19,0.21
